1,3,6,message,stay strong.,2024-02-26 15:58:48,0
2,9,NULL,story,Excited for the weekend ahead.,2024-02-24 17:03:25,1
3,13,NULL,story,Working on a new project,2024-02-23 00:54:03,1
4,14,NULL,story,Taking a break from social media for a while.,2024-02-23 18:50:23,1
5,16,2,message,Embracing the journey,2024-02-23 16:01:26,0
6,20,20,message,Grateful for this beautiful weather!,2024-02-26 21:28:51,0
7,9,6,message,New recipe experiment tonight,2024-02-23 11:39:58,0
8,5,2,message,Celebrating small victories every day.,2024-02-25 04:39:46,0
9,13,9,message,Finally caught up on my favorite TV show.,2024-02-26 12:42:31,0
10,19,NULL,story,Coffee is Life!,2024-02-23 16:08:14,1
11,9,12,message,Remember to take breaks and recharge.,2024-02-23 22:48:39,0
12,7,NULL,story,In need of some Monday motivation.,2024-02-24 21:54:45,1
13,19,9,message,Coffee is Life!,2024-02-26 14:22:46,0
14,4,NULL,story,Finally caught up on my favorite TV show.,2024-02-25 20:22:16,1
15,8,NULL,story,Grateful for this beautiful weather!,2024-02-24 13:57:59,1
16,19,19,message,Celebrating small victories every day.,2024-02-23 04:17:23,0
17,8,NULL,story,wish me luck!,2024-02-24 00:27:31,1
18,1,6,message,Finally caught up on my favorite TV show.,2024-02-25 16:45:31,0
19,19,NULL,story,Sometimes you just need to dance it out.,2024-02-24 22:44:15,1
20,14,10,message,Grateful for this beautiful weather!,2024-02-26 22:59:25,0
21,19,9,message,stay focused,2024-02-25 18:01:32,0
22,9,NULL,story,Feeling blessed to have amazing friends and family.,2024-02-26 06:04:22,1
23,1,15,message,one step at a time.,2024-02-24 21:29:21,0
24,10,NULL,story,Grateful for this beautiful weather!,2024-02-26 07:06:15,1
25,2,NULL,story,Ready to tackle whatever comes my way.,2024-02-23 16:26:30,1
26,20,16,message,Embracing the journey,2024-02-26 19:10:18,0
27,12,NULL,story,Grateful for this beautiful weather!,2024-02-26 21:20:37,1
28,7,NULL,story,wish me luck!,2024-02-25 15:54:22,1
29,19,NULL,story,one step at a time.,2024-02-24 17:42:54,1
